date,spot,vol_21d,sigma_xgb,price_xgb,sigma_vix_proxy,price_vix_proxy,price_BSM
2018-02-01,116.87000274658205,0.1051807944201032,0.3822437524795532,43.767130718917436,0.24896926879882814,36.31370656000284,32.935187765046194
2018-02-06,112.11000061035156,0.2462746198272971,0.3881431818008423,46.43733809885178,0.24981719970703126,39.85275532169861,39.73217162024015
2018-02-09,110.04000091552734,0.3012994950705208,0.38853734731674194,47.551507086105595,0.24165735244750977,41.21784128805599,43.32236316731603
2018-02-15,115.51000213623048,0.3103591620267359,0.28678178787231445,38.894801181728155,0.20828441619873048,35.700436003880824,40.108033149747186
2018-02-21,115.19000244140624,0.3092319639401331,0.31399205327033997,40.42983802657342,0.21113374710083008,35.971609194684916,40.176879397351186
2018-02-27,117.36000061035156,0.3194382278413643,0.286847859621048,37.63293807704238,0.20563098907470703,34.01758571763169,39.4565147765001
2018-03-02,113.31999969482422,0.3282600879028718,0.28900325298309326,40.38116308427128,0.20929008483886719,37.45742094867971,42.3061683531042
2018-03-08,114.73999786376952,0.2477567983505167,0.2884540855884552,39.37853911957781,0.20332256317138672,36.07490060933698,37.58215130577004
2018-03-13,116.25,0.2017460081659408,0.2914488613605499,38.488633739185204,0.20204259872436522,34.70772924438087,34.69862053723524
2018-03-19,114.52999877929688,0.186342862838807,0.2876114249229431,39.32716563966427,0.21064273834228517,36.28918203697296,35.6522426249705
2018-03-22,109.9499969482422,0.235635688102227,0.32874825596809387,44.38736137095712,0.2327430534362793,40.82171445936508,40.899542211660616
2018-03-28,108.0,0.2637952505539969,0.3282076418399811,45.6669444923094,0.22942108154296875,42.388348299643766,43.29532346055963
2018-04-03,109.33000183105467,0.2772105428357656,0.32459720969200134,44.5774025554999,0.21733694076538085,40.94019475894068,42.66862795920139
2018-04-09,110.4000015258789,0.2951421157243327,0.2543809413909912,41.043607282299035,0.2140275764465332,39.923438791005324,42.556006337157356
2018-04-12,113.37000274658205,0.3020936707534738,0.24212589859962463,38.311447225603004,0.200125732421875,37.047628802028925,40.8453472049234
2018-04-18,109.31999969482422,0.3133208326457083,0.23898613452911377,41.39617848811966,0.19464717864990233,40.438742169580195,44.0205230299955
2018-04-23,110.93000030517578,0.2877367973620942,0.24603042006492615,40.2109746937909,0.20162744522094728,39.04265874382237,41.738022078304596
2018-04-27,109.4000015258789,0.2407916027220985,0.26244184374809265,42.020272155353965,0.18984094619750977,40.27743265527839,41.36591707815052
2018-05-02,107.91999816894533,0.2189692104079487,0.24477702379226685,42.680255907593164,0.19450204849243163,41.67227147587356,42.087160184853545
2018-05-08,110.98999786376952,0.2005898930518743,0.22798974812030792,39.62539675834587,0.18231624603271485,38.64150934237844,38.968557589808896
2018-05-11,113.86000061035156,0.1769351211463116,0.21883639693260193,36.929837912133564,0.16875848770141602,35.74246030578425,35.88595988212971
2018-05-17,112.95999908447266,0.146012191118528,0.2168380171060562,37.60979676260857,0.16851547241210937,36.56067143945222,36.29619225798589
2018-05-22,113.01000213623048,0.143534164917728,0.2135787308216095,37.46334610062331,0.16912172317504884,36.509900286751474,36.2131783325224
2018-05-29,105.93000030517578,0.2131739686463531,0.2467280924320221,44.29336907613711,0.19789976119995117,43.42498260500676,43.639153588225994
2018-06-01,108.4000015258789,0.2352289719860191,0.22994478046894073,41.79868486673803,0.17659172058105468,40.892868177263054,41.926055544127294
2018-06-07,110.8000030517578,0.2386798582348935,0.2243809998035431,39.59438683091288,0.17609933853149415,38.62698747854151,39.997670468711576
2018-06-12,110.19000244140624,0.2239041097259144,0.2243809998035431,40.13620744345593,0.1721944046020508,39.170951789662254,40.12420166705657
2018-06-18,108.18000030517578,0.2298288034785383,0.22087980806827545,41.76096307988121,0.17209503173828125,41.026097526357546,41.95799027663254
