model,MAE,RMSE,MAPE%,R2,bias
gbdt_anchored,1.4844872470852495,2.555052294064163,3.0547429631539718,0.9578369239448553,0.11146169345165922
BSM(vol_21d),1.5174063402681977,2.1711967885769514,2.8904004158181285,0.9695539415190428,0.07183830553221925
gbdt,2.2560831439826043,7.04662343187236,4.47145032501433,0.6793030507179467,0.8098946081454164
xgb,2.4413561282121923,7.625032771408208,4.7853084369954075,0.6244946487135434,1.0694489964207665
rf,2.619590765690277,7.526837930110152,5.122562244484933,0.6341038574956303,1.2878470144154475
lstm,5.186001128669137,11.513780790238663,10.056707660436546,0.14381302886528813,4.0774223235733045
