model,MAE,RMSE,MAPE%,R2,bias,MAE_improve_vs_base_%
BSM(vol_21d) static-vol benchmark,1.7728192918954873,2.2447938195851744,51.6683052121352,0.9295785909750031,-0.27250760715114036,0.0
GBDT,3.7523292694589037,5.060157758872602,78.54528207634887,0.6421673965145567,-1.2337399640026276,-111.6588693846476
MLP-NeuralNet,5.107212880934219,6.547700528074044,132.45963396183936,0.4008584891980266,1.1450441908967308,-188.0842342071774
LinearRegression,7.07738710853365,8.662759941293503,191.3430790970881,-0.048731598543862775,-2.0933076711270906,-299.216498877703
