model,sigma_%,MAE_$,RMSE_$,ATM_IV_gap_%,OTM_put_bias_%,group_bias_%
rf,22.16,1.028,1.546,3.0,-80.8,-51.4
xgb,21.39,1.186,1.757,3.77,-82.6,-57.6
gbdt,21.28,1.21,1.789,3.88,-82.8,-58.4
gbdt_anchored,20.89,1.293,1.9,4.27,-83.7,-61.1
vol_21d,20.29,1.421,2.078,4.87,-84.9,-65.2
vol_21d_snapshot,20.21,1.438,2.101,4.95,-85.1,-65.7
