model,MAE,RMSE,MAPE%,R2,bias,MAE_improve_vs_base_%
BSM(vol_21d) persistence,0.07324086647494235,0.08945887970251373,79.33455499651726,-0.030120976718106318,0.012772634108396267,0.0
gbdt_anchored,0.07535410399207725,0.09930822591302599,94.44703020746336,-0.26943879821368766,0.01898992335611793,-2.885325664269536
historical mean vol,0.09240716803307551,0.12345833394603681,110.38452152338904,-0.9619238398251759,0.08644695171087789,-26.16886238598838
gbdt,0.09603361974749444,0.14116545114609344,96.9555997992618,-1.5650637396851397,0.03404417970154045,-31.12026709890181
xgb,0.10048693135509564,0.15075831511774782,100.18268882220099,-1.9255253845860976,0.04292105866187864,-37.20063154833769
rf,0.10273716600709565,0.14965234673545003,102.62486065485332,-1.8827593114685555,0.0425323346325647,-40.27300734111982
lstm,0.13731736272549505,0.19936703583993784,168.8380211284299,-4.116206019818551,0.09303448862202862,-87.48735417060499
