model,MAE,RMSE,MAPE%,R2,bias,MAE_improve_vs_base_%
BSM(vol_21d) persistence,0.07324086647494235,0.08945887970251373,79.33455499651726,-0.030120976718106318,0.012772634108396267,0.0
gbdt_anchored,0.07419804149411881,0.09789973570092743,91.8002066780318,-0.23368521295150924,0.015814779955606643,-1.3068865310378759
historical mean vol,0.09240716803307551,0.12345833394603681,110.38452152338904,-0.9619238398251759,0.08644695171087789,-26.16886238598838
gbdt,0.09483758834658028,0.14072171927292956,96.79494816891486,-1.5489633178092999,0.03353741558810935,-29.48725610588829
xgb,0.09510422711933883,0.14365843919399127,97.74509138448676,-1.656462000343105,0.03429118752357876,-29.851313476577335
rf,0.10209297156406222,0.1488558680053793,102.08632992164543,-1.8521557626815586,0.0405213790647287,-39.39345133087815
lstm,0.12941325299632606,0.20045828017040657,115.95025546936783,-4.172366861782034,0.07481008324650443,-76.69541503936436
