model,MAE,RMSE,MAPE%,R2,bias
gbdt_anchored,1.4637750156463563,2.509301709000228,2.979688232448743,0.9593333436183293,0.036688924964152284
BSM(vol_21d),1.5174063402681977,2.1711967885769514,2.8904004158181285,0.9695539415190428,0.07183830553221925
xgb,2.1403634522065027,7.231869624815287,4.306996565679977,0.6622200418065447,0.7473260946749569
gbdt,2.205516461030179,7.022899319583661,4.361112886000214,0.6814588188040701,0.7788146122255124
rf,2.5751712290244195,7.519039672155208,5.02369608589726,0.634861645668519,1.2170323019872546
lstm,5.585115252698874,14.405395322826356,10.98852795114286,-0.34024150545954,4.345201346756147
