date,spot,vol_21d,oos,sigma_xgb,price_xgb,sigma_vix_proxy,price_vix_proxy,price_BSM
2018-02-01,116.87000274658205,0.1051807944201032,0.0,0.3822437524795532,43.767130718917436,0.24896926879882814,36.31370656000284,32.935187765046194
2018-02-07,112.87000274658205,0.2469117496158784,0.0,0.38831740617752075,46.020250490311646,0.23860124588012696,38.83641335161684,39.12167385508569
2018-02-13,112.43000030517578,0.3008023756236143,0.0,0.36889874935150146,45.0939510122303,0.22896135330200196,38.833334372600206,41.59559483460633
2018-02-20,114.70999908447266,0.3114543400678646,0.0,0.32366278767585754,41.215708217412185,0.21628381729125976,36.49668835024963,40.56618932409941
2018-02-27,117.36000061035156,0.3194382278413643,0.0,0.286847859621048,37.63293807704238,0.20563098907470703,34.01758571763169,39.4565147765001
2018-03-05,115.05999755859376,0.330824438464428,0.0,0.28991156816482544,39.20540139243003,0.20657350540161132,35.86232938818857,41.362379179819186
2018-03-09,118.04000091552734,0.2646842932461448,0.0,0.26157841086387634,35.883852114011574,0.19704816818237306,33.17160794758189,36.03962000093637
2018-03-15,115.23999786376952,0.2009446017084119,0.0,0.2895481288433075,38.990805284946475,0.20238931655883788,35.499456746086864,35.45818350639401
2018-03-22,109.9499969482422,0.235635688102227,0.0,0.32874825596809387,44.38736137095712,0.2327430534362793,40.82171445936508,40.899542211660616
2018-03-28,108.0,0.2637952505539969,0.0,0.3282076418399811,45.6669444923094,0.22942108154296875,42.388348299643766,43.29532346055963
2018-04-04,110.98999786376952,0.2770811217812157,0.0,0.2522043287754059,40.56985059594096,0.2056026840209961,39.2918934403863,41.465364864233806
2018-04-10,112.51000213623048,0.2846142918816318,0.0,0.2548709511756897,39.44656001141223,0.21243722915649413,38.1047469524821,40.6404902545883
2018-04-17,110.20999908447266,0.3132755611630067,0.0,0.23836250603199005,40.65467116712868,0.1918187141418457,39.60024009940773,43.41726485306184
2018-04-23,110.93000030517578,0.2877367973620942,0.0,0.24603042006492615,40.2109746937909,0.20162744522094728,39.04265874382237,41.738022078304596
2018-04-27,109.4000015258789,0.2407916027220985,0.0,0.26244184374809265,42.020272155353965,0.18984094619750977,40.27743265527839,41.36591707815052
2018-05-04,108.43000030517578,0.2140861606124495,0.0,0.23135420680046082,41.9140496074147,0.18619436264038086,41.09081392930419,41.540515700046015
2018-05-10,114.29000091552734,0.1951838089664814,0.0,0.2161482870578766,36.52278466078758,0.17118026733398437,35.42216506800017,35.93535833143825
2018-05-16,113.33999633789062,0.1489261066367874,0.0,0.21799148619174957,37.32954006379586,0.16956846237182618,36.22911430043908,35.964388191798804
2018-05-22,113.01000213623048,0.143534164917728,0.0,0.2135787308216095,37.46334610062331,0.16912172317504884,36.509900286751474,36.2131783325224
2018-05-30,108.3499984741211,0.2282081360478902,0.0,0.23756645619869232,42.00007092110492,0.18349130630493163,40.989743661061325,41.77433233315318
2018-06-05,107.83999633789062,0.2317160137646725,0.0,0.2243809998035431,42.13186579511802,0.17272058486938477,41.35280098958361,42.2939797476821
2018-06-11,110.83000183105467,0.2235319256387511,0.0,0.2243809998035431,39.56916607545337,0.1721944046020508,38.547749059241625,39.546803508896815
2018-06-15,107.9000015258789,0.2292352641783263,0.0,0.22087980806827545,42.00634857296001,0.17209503173828125,41.29040525971281,42.185848223175086
2018-06-22,105.75,0.2238298207768231,0.0,0.22531238198280334,44.00659290100705,0.17988580703735352,43.40684601844829,43.97988100239053
2018-06-28,104.93000030517578,0.1637021330354678,0.0,0.2366846799850464,44.9469695710133,0.18864152908325196,44.259370667135684,44.083143830951045
2018-07-05,103.72000122070312,0.1614680246069458,0.0,0.22913222014904022,45.849000438859164,0.17865989685058595,45.286924001827984,45.198557417658705
2018-07-11,106.38999938964844,0.1767865623854993,0.0,0.21976473927497864,43.280586244414124,0.1737362289428711,42.6918778350353,42.717001722157704
2018-07-18,111.52999877929688,0.2186297212980356,0.0,0.20888854563236237,38.50442022148137,0.1717198371887207,37.809412686734944,38.74865978283371
2018-07-24,114.1500015258789,0.2250488095279832,0.0,0.20972979068756104,36.288435276123266,0.1715601348876953,35.38908796527524,36.76770732100978
2018-07-30,116.7300033569336,0.2068840411169928,0.0,0.22366060316562653,34.688244063070826,0.18030540466308595,33.28359660950744,34.07834000381662
2018-08-06,117.12000274658205,0.203888445121865,0.0,0.20936432480812073,33.84376706487683,0.17133113861083984,32.712722806970916,33.653242684325335
2018-08-10,115.7300033569336,0.1893944932880998,0.0,0.22293922305107117,35.4156556683546,0.1743308448791504,33.9959517786875,34.35922266965434
2018-08-16,114.7699966430664,0.1566542208243346,0.0,0.21962390840053558,36.02969627198243,0.17022041320800782,34.738368586658765,34.51370203413131
2018-08-22,114.97000122070312,0.1262841732232473,0.0,0.21494227647781372,35.69002601418133,0.1694985008239746,34.51804237186799,33.98353817266309
2018-08-29,115.76000213623048,0.1202287503448126,0.0,0.2140505611896515,34.978683829378795,0.16468288421630858,33.66428668585428,33.129436224784754
2018-09-05,114.58999633789062,0.1181015022737937,0.0,0.2175656408071518,36.01644117077282,0.17528879165649414,34.90097929356419,34.23346110699181
2018-09-11,114.43000030517578,0.1143981196517397,0.0,0.21416552364826202,36.02428567359013,0.16511240005493164,34.8446038405481,34.359359431734944
2018-09-17,113.83999633789062,0.0971078682608173,0.0,0.22058656811714172,36.69126704917909,0.17237333297729493,35.48947587329219,34.883428444996355
2018-09-24,116.72000122070312,0.1476682144214415,0.0,0.22049924731254578,34.35247142726661,0.16339765548706053,32.65921280161288,32.37851578239568
2018-09-28,112.83999633789062,0.1487657357879772,0.0,0.21454377472400665,37.29015998213511,0.16366342544555665,36.22314001815292,36.04917863054459
2018-10-04,115.2699966430664,0.1517370805428179,0.0,0.2188730239868164,35.41765352795322,0.1766791534423828,34.22079234920524,33.77248779609482
2018-10-11,108.12999725341795,0.2031015246775515,0.0,0.2673460841178894,42.605151808314744,0.22022958755493163,41.34188296928696,41.01460044367842
2018-10-17,109.83000183105467,0.2239097854687785,0.0,0.2602076828479767,40.98384549805084,0.19215850830078124,39.24128561392148,39.90968978672359
2018-10-23,105.25,0.197419324034667,0.0,0.28876128792762756,45.48292432407899,0.2077609443664551,43.618613028550584,43.48423861264878
2018-10-29,104.8499984741211,0.2222715485978779,0.0,0.2702105939388275,45.24679095555982,0.21814071655273437,44.1241571192639,44.19152346307669
2018-11-05,109.08999633789062,0.2440978704969795,0.0,0.2547331154346466,41.32617253801675,0.19839653015136718,39.94577506768228,41.0062689104701
2018-11-09,111.29000091552734,0.2111013222720925,0.0,0.23896674811840057,39.06827462179861,0.19357698440551757,37.89264084695809,38.28155663585528
2018-11-15,110.06999969482422,0.2356112910506085,0.0,0.2532924711704254,40.48859757170021,0.1979219627380371,39.046785235156506,39.94467982055704
2018-11-21,107.63999938964844,0.2352070050493262,0.0,0.257341206073761,42.50934282842506,0.20408151626586915,41.27890569145954,41.91622037254747
2018-11-29,110.05999755859376,0.2238124725573343,0.0,0.24302774667739868,40.1717932897532,0.19341249465942384,38.97313711310349,39.63277938170816
2018-12-06,105.19000244140624,0.2765320517640652,0.0,0.2595948278903961,44.591932739414034,0.21202877044677734,43.62391352698454,45.05578361882458
2018-12-12,101.0199966430664,0.2758951350306598,0.0,0.2560936510562897,48.07581623361321,0.21523836135864258,47.479547791361554,48.48144111518195
2018-12-18,98.54000091552734,0.2408911961722258,0.0,0.27100446820259094,50.59171697366155,0.24350399017333985,50.16523744544216,50.1317352573827
2018-12-26,95.95999908447266,0.2953171445115601,0.0,0.27719107270240784,52.92050738642594,0.26355949401855466,52.71921052412952,53.236316147470006
2019-01-02,99.30999755859376,0.2895184205123481,0.0,0.2573160231113434,49.629948263968444,0.22870206832885742,49.232532874747875,50.25758060533866
2019-01-08,100.56999969482422,0.2801556948345982,0.0,0.25115594267845154,48.34594649938667,0.2067757797241211,47.77619090676443,48.92060747238523
