date,close_jpm,close_vix,value_treasury_3mo,dps_growth_rate,daily_return,vol_5d,vol_21d,vol_63d,high_low_spread,volume_change_1d,sma_ratio_21,vix_change_1d,vix_jpm_corr_21d,vix_jpm_cross_1d,rate_change_1d_bps,rate_momentum_5d_bps,sentiment_score,jpm_vol_ratio,vix_ratio
2018-01-09,109.0500030517578,10.079999923706056,1.44,0.0,0.005056347652064273,0.09091930305664345,,,0.010453914330542163,0.06413987352549363,,0.5599994659423846,,-0.002831551984775023,-1.0000000000000009,0.0,0.0,,
2018-01-10,110.25,9.81999969482422,1.42,0.0,0.010943993694376831,0.10940474237699083,,,0.011882064023526206,0.17500618366391676,,-0.26000022888183594,,0.0028454408654193454,-2.0000000000000018,1.0000000000000009,0.27957004684282527,,
2018-01-11,110.83999633789062,9.880000114440918,1.43,0.0,0.005337172628220776,0.10160472791156223,,,0.007939347550457795,-0.14649013716582734,,0.06000041961669744,,-0.0003202325972599985,1.0000000000000009,2.0000000000000018,0.21505348778066835,,
2018-01-12,112.66999816894533,10.15999984741211,1.43,0.0,0.01637548896941464,0.09290505004668077,,,0.017839728134339098,0.32262462690180765,,0.2799997329711914,,-0.004585132538708789,0.0,4.0000000000000036,0.0,,
2018-01-16,112.2699966430664,11.65999984741211,1.45,0.0,-0.0035565213544427503,0.11807462190799992,,,0.02102075960556566,0.1841846947664105,,1.5,,0.005334782031664126,2.0000000000000018,0.0,0.0,,
2018-01-17,112.98999786376952,11.90999984741211,1.44,0.0,0.006392645744638982,0.11718686283142875,,,0.01761222701821232,-0.41844802854650553,,0.25,,-0.0015981614361597455,-1.0000000000000009,0.0,0.0,,
2018-01-18,113.26000213623048,12.220000267028809,1.45,0.0,0.002386779232168646,0.1152265658195323,,,0.01280244172954046,-0.02489862030141138,,0.3100004196166992,,-0.0007399025635047035,1.0000000000000009,3.0000000000000027,0.0,,
2018-01-19,113.01000213623048,11.270000457763672,1.44,0.0,-0.0022097502718746898,0.12726050096777625,,,0.013627052977809934,0.2539216561304029,,-0.9499998092651367,,-0.0020992623368045393,-1.0000000000000009,1.0000000000000009,0.3094461265764744,,
2018-01-22,114.33000183105467,11.029999732971191,1.44,0.0,0.011612690294319775,0.09918899840071962,,,0.016531088597735593,-0.40930254336554167,,-0.24000072479248047,,0.0027870540874273494,0.0,1.0000000000000009,0.38762224191699035,,
2018-01-23,114.20999908447266,11.100000381469728,1.44,0.0,-0.0010501685230601555,0.09004520899212048,,,0.011294991032906198,-0.01249386122568058,,0.07000064849853693,,7.351247764696163e-05,0.0,-1.0000000000000009,0.36482073256461534,,
2018-01-24,115.66999816894533,11.470000267028809,1.43,0.0,0.01270244243098172,0.1116824869891328,,,0.011584649080165564,0.25531319698970684,,0.36999988555908025,-0.03040027242781334,-0.004699902245784042,-1.0000000000000009,-1.0000000000000009,0.2442996226619062,,
2018-01-25,115.6999969482422,11.579999923706056,1.42,0.0,0.0002593143458362048,0.115403930203394,,,0.009420884759212721,-0.1631719360797181,,0.10999965667724787,-0.029707200871997488,-2.852448901346765e-05,-1.0000000000000009,-3.0000000000000027,0.20846912316965172,,
