到期日,期限(年),行权价,类型,市场价,买价,卖价,YahooIV,成交量,未平仓量,BSM价,中间价,绝对误差,squared_error,bias,偏差%,MAPE%,货币度,Log货币度,tenor_bucket,反推IV,IV-vol_21d,参数_S,参数_r,参数_q,参数_vol_21d
2026-09-04,0.10410958904109589,290.0,call,60.3,0.0,0.0,1.0000000000000003e-05,,,63.7388894458669,60.3,3.4388894458669057,11.825960620894794,3.4388894458669057,5.702967571918584,5.702967571918584,ITM,-0.19718183372708756,<3m,0.0,-0.20209665509756794,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,295.0,call,55.35,0.0,0.0,1.0000000000000003e-05,,,58.768396996310685,55.35,3.4183969963106833,11.6854380243859,3.4183969963106833,6.175965666324631,6.175965666324631,ITM,-0.1800874003677874,<3m,0.0,-0.20209665509756794,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,305.0,call,45.95,0.0,0.0,1.0000000000000003e-05,,,48.87353516526463,45.95,2.9235351652646244,8.547057862538855,2.9235351652646244,6.362426910260336,6.362426910260336,ITM,-0.1467509801001956,<3m,0.0,-0.20209665509756794,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,310.0,call,43.05,0.0,0.0,1.0000000000000003e-05,34.0,27.0,43.97777004086544,43.05,0.9277700408654397,0.8607572487274596,0.9277700408654397,2.1550988173413237,2.1550988173413237,ITM,-0.13049045922841523,<3m,0.0,-0.20209665509756794,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,315.0,call,38.55,0.0,0.0,1.0000000000000003e-05,,1.0,39.14910995342677,38.55,0.5991099534267761,0.3589327362950338,0.5991099534267761,1.5541114226375516,1.5541114226375516,ITM,-0.11449011788197416,<3m,0.0010000013965182006,-0.20109665370104973,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,320.0,call,36.04,0.0,0.0,1.0000000000000003e-05,3.0,11.0,34.424694805581396,36.04,1.6153051944186032,2.6092108711157214,-1.6153051944186032,-4.481978896832972,4.481978896832972,ITM,-0.09874176091383494,<3m,0.2877423008566488,0.08564564575908087,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,325.0,call,28.15,0.0,0.0,1.0000000000000003e-05,,1.0,29.852043178054657,28.15,1.7020431780546588,2.8969509799624027,1.7020431780546588,6.046334557920635,6.046334557920635,ITM,-0.08323757437786976,<3m,0.0,-0.20209665509756794,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,330.0,call,24.2,0.0,0.0,1.0000000000000003e-05,,1.0,25.487039581095246,24.2,1.2870395810952466,1.656470883305828,1.2870395810952466,5.318345376426639,5.318345376426639,ITM,-0.06797010224708126,<3m,0.1327370714818477,-0.06935958361572023,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,335.0,call,22.99,0.0,0.0,1.0000000000000003e-05,,4.0,21.38977137941083,22.99,1.6002286205891672,2.5607316381527085,-1.6002286205891672,-6.960542064328696,6.960542064328696,ITM,-0.05293222488254081,<3m,0.2504544590575789,0.048357803960010964,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,345.0,call,14.85,0.0,0.0,1.0000000000000003e-05,,2.0,14.223782887717192,14.85,0.6262171122828075,0.3921478717158184,-0.6262171122828075,-4.216950251062677,4.216950251062677,ITM,-0.023518339676247498,<3m,0.2171300082564526,0.015033353158884655,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,350.0,call,13.13,0.0,0.0,1.0000000000000003e-05,,1.0,11.24095855177083,13.13,1.88904144822917,3.56847759312776,-1.88904144822917,-14.387215904258719,14.387215904258719,ITM,-0.00912960222414784,<3m,0.24450714384987576,0.04241048875230782,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,355.0,call,10.5,0.0,0.0,0.0039162109375,,16.0,8.687381407722427,10.5,1.8126185922775733,3.285586161070331,-1.8126185922775733,-17.263034212167362,17.263034212167362,OTM,0.005055032767808532,<3m,0.24203530100374585,0.039938645906177905,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,360.0,call,7.87,0.0,0.0,0.015634843750000002,5.0,7.0,6.560080514322351,7.87,1.309919485677649,1.7158890589579967,-1.309919485677649,-16.64446614584052,16.64446614584052,OTM,0.019041274742548363,<3m,0.23158032965983805,0.029483674562270107,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,365.0,call,4.85,0.0,0.0,0.0312596875,,1.0,4.837116732875003,4.85,0.012883267124996323,0.00016597857181401102,-0.012883267124996323,-0.2656343737112644,0.2656343737112644,OTM,0.03283459687488434,<3m,0.20240894452096056,0.0003122894233926199,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,370.0,call,4.3,0.0,0.0,0.0312596875,,4.0,3.481161631313441,4.3,0.818838368686559,0.6704962740332652,-0.818838368686559,-19.04275276015254,19.04275276015254,OTM,0.046440248930662904,<3m,0.22383200719053914,0.0217353520929712,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,375.0,call,3.2,0.0,0.0,0.0312596875,,5.0,2.4445524471920805,3.2,0.7554475528079196,0.5707010050434745,-0.7554475528079196,-23.60773602524749,23.60773602524749,OTM,0.05986326926280354,<3m,0.22508020390539554,0.022983548807827603,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,380.0,call,2.24,0.0,0.0,0.062509375,10.0,11.0,1.6747726336927968,2.24,0.5652273663072034,0.31948197562257746,-0.5652273663072034,-25.233364567285864,25.233364567285864,OTM,0.07310849601282432,<3m,0.22265873418681512,0.020562079089247176,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,385.0,call,1.16,0.0,0.0,0.062509375,,1.0,1.11942655215001,1.16,0.04057344784998995,0.0016462046704358543,-0.04057344784998995,-3.4977110215508582,3.4977110215508582,OTM,0.08618057758017704,<3m,0.20404693502203636,0.0019502799244684177,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,280.0,put,0.3,0.0,0.0,0.12500875,,21.0,0.0008136906516914219,0.3,0.2991863093483086,0.0895124477014618,-0.2991863093483086,-99.72876978276953,99.72876978276953,OTM,-0.23227315353835765,<3m,0.3611585449995761,0.15906188990200817,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,300.0,put,0.67,,0.0,0.12500875,,1.0,0.0377151028981253,0.67,0.6322848971018747,0.39978419110312835,-0.6322848971018747,-94.37088016445891,94.37088016445891,OTM,-0.1632802820514062,<3m,0.31070515548182437,0.10860850038425643,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
2026-09-04,0.10410958904109589,310.0,put,1.44,0.0,0.0,0.062509375,,12.0,0.16628852940728134,1.44,1.2737114705927186,1.622340910319466,-1.2737114705927186,-88.45218545782768,88.45218545782768,OTM,-0.13049045922841523,<3m,0.31121010997726206,0.10911345487969412,353.2099914550781,0.03805000066757202,0.016987061932428632,0.20209665509756794
