ticker,date,open,high,low,close,volume,adjusted_close,currency
JPM,2018-01-02,107.62999725341797,108.0199966430664,106.80999755859375,107.94999694824219,13578800,85.9012680053711,USD
JPM,2018-01-03,107.86000061035156,108.48999786376953,107.4800033569336,108.05999755859375,11901000,85.98881530761719,USD
JPM,2018-01-04,108.36000061035156,110.02999877929688,108.19999694824219,109.04000091552734,12953700,87.22065734863281,USD
JPM,2018-01-05,109.26000213623047,109.55000305175781,107.77999877929688,108.33999633789062,14155000,86.66070556640625,USD
JPM,2018-01-08,108.1500015258789,108.68000030517578,107.69999694824219,108.5,12466500,86.78871154785156,USD
JPM,2018-01-09,108.72000122070312,109.62999725341797,108.48999786376953,109.05000305175781,13292300,87.22865295410156,USD
JPM,2018-01-10,109.47000122070312,110.69999694824219,109.38999938964844,110.25,15834500,88.18855285644531,USD
JPM,2018-01-11,110.66999816894531,110.93000030517578,110.05000305175781,110.83999633789062,13676800,88.66046142578125,USD
JPM,2018-01-12,111.6500015258789,112.8499984741211,110.83999633789062,112.66999816894531,18884200,90.12427520751953,USD
JPM,2018-01-16,111.51000213623047,113.43000030517578,111.06999969482422,112.2699966430664,22703300,89.80430603027344,USD
JPM,2018-01-17,111.88999938964844,113.30000305175781,111.30999755859375,112.98999786376953,14940300,90.3802490234375,USD
JPM,2018-01-18,112.76000213623047,113.72000122070312,112.2699966430664,113.26000213623047,14572900,90.59622192382812,USD
JPM,2018-01-19,113.94000244140625,114.33999633789062,112.80000305175781,113.01000213623047,18785500,90.39623260498047,USD
JPM,2018-01-22,112.66000366210938,114.38999938964844,112.5,114.33000183105469,12475700,91.45211029052734,USD
JPM,2018-01-23,113.66999816894531,114.63999938964844,113.3499984741211,114.20999908447266,12320800,91.35610961914062,USD
JPM,2018-01-24,114.86000061035156,116.0,114.66000366210938,115.66999816894531,15904500,92.52395629882812,USD
JPM,2018-01-25,116.04000091552734,116.16999816894531,115.08000183105469,115.69999694824219,13510000,92.5479507446289,USD
JPM,2018-01-26,115.69999694824219,116.31999969482422,114.95999908447266,116.31999969482422,13883900,93.04387664794922,USD
JPM,2018-01-29,116.0199966430664,117.3499984741211,116.0199966430664,116.19999694824219,11679900,92.94789123535156,USD
JPM,2018-01-30,115.52999877929688,116.5999984741211,114.9800033569336,115.11000061035156,14279100,92.07601928710938,USD
JPM,2018-01-31,115.6500015258789,116.66000366210938,115.16000366210938,115.66999816894531,13141400,92.52395629882812,USD
JPM,2018-02-01,115.7699966430664,116.98999786376953,115.4800033569336,116.87000274658203,13800600,93.48384094238281,USD
JPM,2018-02-02,116.48999786376953,116.91999816894531,114.08999633789062,114.27999877929688,16477300,91.41209411621094,USD
JPM,2018-02-05,113.0,114.58999633789062,103.9800033569336,108.80000305175781,30097600,87.02867126464844,USD
JPM,2018-02-06,106.8499984741211,112.4800033569336,106.61000061035156,112.11000061035156,33114800,89.67634582519531,USD
JPM,2018-02-07,111.55000305175781,114.44999694824219,111.1500015258789,112.87000274658203,21878300,90.28423309326172,USD
JPM,2018-02-08,113.11000061035156,113.11000061035156,107.83999633789062,107.87999725341797,27425800,86.29275512695312,USD
JPM,2018-02-09,109.0999984741211,111.05000305175781,106.2300033569336,110.04000091552734,28188000,88.02055358886719,USD
JPM,2018-02-12,111.16999816894531,112.7300033569336,110.06999969482422,111.73999786376953,18043300,89.38035583496094,USD
JPM,2018-02-13,111.31999969482422,113.05000305175781,110.80000305175781,112.43000030517578,16358200,89.93229675292969,USD
JPM,2018-02-14,112.62999725341797,115.2699966430664,112.52999877929688,115.02999877929688,15186900,92.01203918457031,USD
JPM,2018-02-15,115.73999786376953,115.98999786376953,114.22000122070312,115.51000213623047,12130200,92.39598083496094,USD
JPM,2018-02-16,114.55000305175781,116.06999969482422,114.5,114.68000030517578,13214300,91.73207092285156,USD
JPM,2018-02-20,114.6500015258789,115.38999938964844,113.97000122070312,114.70999908447266,13461500,91.75604248046875,USD
JPM,2018-02-21,115.0,117.44999694824219,114.66999816894531,115.19000244140625,14212500,92.13999938964844,USD
JPM,2018-02-22,115.5,116.43000030517578,114.76000213623047,114.9800033569336,17070400,91.97200775146484,USD
JPM,2018-02-23,115.30999755859375,117.38999938964844,115.30999755859375,117.30999755859375,12162500,93.83576202392578,USD
JPM,2018-02-26,118.13999938964844,118.9000015258789,117.31999969482422,118.7699966430664,16511200,95.00362396240234,USD
JPM,2018-02-27,118.91000366210938,119.33000183105469,117.3499984741211,117.36000061035156,17563300,93.87577056884766,USD
JPM,2018-02-28,117.81999969482422,118.48999786376953,115.33999633789062,115.5,17735600,92.38797760009766,USD
JPM,2018-03-01,115.4800033569336,116.63999938964844,112.6500015258789,113.43000030517578,18690000,90.73219299316406,USD
JPM,2018-03-02,112.38999938964844,113.55999755859375,111.12000274658203,113.31999969482422,18353700,90.6441879272461,USD
JPM,2018-03-05,112.05000305175781,115.93000030517578,111.88999938964844,115.05999755859375,13933000,92.03601837158203,USD
JPM,2018-03-06,115.63999938964844,115.81999969482422,114.31999969482422,115.16000366210938,10674400,92.11602783203125,USD
JPM,2018-03-07,113.75,115.0999984741211,113.11000061035156,114.7300033569336,13006500,91.77204132080078,USD
JPM,2018-03-08,115.11000061035156,115.2300033569336,113.20999908447266,114.73999786376953,11173700,91.78005981445312,USD
JPM,2018-03-09,116.55000305175781,118.08000183105469,115.66999816894531,118.04000091552734,15366600,94.41973114013672,USD
JPM,2018-03-12,118.0,118.75,117.25,117.66000366210938,12339300,94.11573791503906,USD
JPM,2018-03-13,118.19999694824219,118.47000122070312,115.83000183105469,116.25,13312300,92.98789978027344,USD
JPM,2018-03-14,116.55999755859375,116.58999633789062,114.5999984741211,114.94999694824219,12905100,91.9480209350586,USD
JPM,2018-03-15,115.87000274658203,116.0,114.83000183105469,115.23999786376953,8748000,92.18001556396484,USD
JPM,2018-03-16,115.33999633789062,116.5999984741211,115.33999633789062,115.44000244140625,19888900,92.33998107910156,USD
JPM,2018-03-19,115.0999984741211,115.44999694824219,113.30000305175781,114.52999877929688,13214900,91.61206817626953,USD
JPM,2018-03-20,114.87000274658203,115.44999694824219,114.44999694824219,114.63999938964844,9921200,91.7000503540039,USD
JPM,2018-03-21,114.80999755859375,116.62999725341797,114.20999908447266,114.73999786376953,13633000,91.78005981445312,USD
JPM,2018-03-22,113.19999694824219,113.5999984741211,109.54000091552734,109.94999694824219,22550400,87.94853210449219,USD
JPM,2018-03-23,110.2699966430664,110.91999816894531,106.76000213623047,107.01000213623047,23081500,85.59684753417969,USD
JPM,2018-03-26,109.19000244140625,111.16000366210938,108.6500015258789,110.30999755859375,20217500,88.23651885986328,USD
JPM,2018-03-27,111.06999969482422,111.69000244140625,107.30000305175781,108.16999816894531,18039900,86.5247573852539,USD
JPM,2018-03-28,108.27999877929688,109.16999816894531,106.6500015258789,108.0,19189300,86.38875579833984,USD
JPM,2018-03-29,108.5,110.77999877929688,107.77999877929688,109.97000122070312,13274600,87.96456146240234,USD
JPM,2018-04-02,109.95999908447266,110.7300033569336,106.08000183105469,107.8499984741211,18822500,86.2687759399414,USD
JPM,2018-04-03,108.36000061035156,109.5,107.26000213623047,109.33000183105469,14050700,87.4526138305664,USD
JPM,2018-04-04,107.0999984741211,111.20999908447266,107.0199966430664,110.98999786376953,15302600,88.78046417236328,USD
