track,model,MAE,RMSE,R2,unit
A1_vol,RandomForest,0.08359257849468618,0.11249783117290423,-0.6290320179216764,vol_frac
A1_vol,GBDT,0.08357807338234681,0.11265465773111386,-0.6335770576532602,vol_frac
A1_vol,XGBoost,0.08416909769501786,0.12063882471484506,-0.873335295477097,vol_frac
A1_vol,GBDT-anchored (vol_ratio),0.07160004367445252,0.09286691805256352,-0.1101032817848211,vol_frac
A1_vol,LSTM,0.10915053122156647,0.1556497925176918,-2.118447326388353,vol_frac
A1_vol,XGB-VIX proxy (IV),0.07457494502797521,0.09243715586458535,-0.09985255897174894,vol_frac
A1_chooser,vix_proxy,1.1744560250470948,1.6932988809855716,0.9814817499477922,usd
A1_chooser,BSM(vol_21d),1.5174063402681977,2.1711967885769514,0.9695539415190428,usd
A1_chooser,gbdt_anchored,1.5539047892611382,2.7117937116365787,0.9525052069154508,usd
A1_chooser,rf,1.6032186804787332,2.918453146554931,0.9449904424032448,usd
A1_chooser,xgb,1.7070769188194777,3.3233774782306473,0.9286667442651566,usd
A1_chooser,gbdt,1.7189580178077386,2.7537329888170765,0.9510247844640276,usd
A1_chooser,lstm,2.627795417586111,4.171924179120294,0.8875898531445221,usd
A2_price,BSM(vol_21d) static-vol benchmark,1.7728192918954873,2.2447938195851744,0.9295785909750031,usd
A2_price,pricing_gbdt,3.6921131614785105,4.857796957260486,0.6702152936881818,usd
A2_price,pricing_nn,4.607887567694697,5.919289643037478,0.5103441163935095,usd
