feature,mean_abs_SHAP
sentiment_score,1.6859995
vol_63d,0.5071682
vol_21d,0.35709566
vix_ratio,0.28002647
dps_growth_rate,0.15264347
sma_ratio_21,0.061097305
vix_change_1d,0.057451196
vol_5d,0.037919022
vix_jpm_corr_21d,0.024326533
jpm_vol_ratio,0.010827223
regime_CALM,0.008667882
volume_change_1d,0.007983696
rate_momentum_5d_bps,0.00545007
regime_BULL,0.004707369
vix_jpm_cross_1d,0.0033913641
daily_return,0.0016805602
rate_change_1d_bps,0.0005598452
regime_BEAR,0.0
regime_HIGH_VOL,0.0
