model,week5_default_MAE_%,week6_tuned_MAE_%,week6_RMSE_%,week6_R2,MAE_change_%
GBDT-anchored (vol_ratio),7.419804149411879,7.160004367445253,9.286691805256352,-0.1101032817848211,-0.2597997819666267
BSM(vol_21d) persistence,7.324086647494229,7.324086647494229,,,0.0
XGB-VIX proxy (IV),,7.457494502797521,9.243715586458535,-0.09985255897174894,
GBDT,9.483758834658019,8.35780733823468,11.265465773111385,-0.6335770576532602,-1.1259514964233386
RandomForest,10.20929715640622,8.359257849468618,11.249783117290422,-0.6290320179216764,-1.850039306937603
XGBoost,9.510422711933881,8.416909769501785,12.063882471484506,-0.873335295477097,-1.0935129424320955
LSTM,12.9413252996326,10.915053122156646,15.564979251769179,-2.118447326388353,-2.0262721774759545
