regime,n,vol_MAE_%,vol_R2,mean_vol_21d_%
BULL,45,9.995245740958335,-1.3276820221146912,
CALM,104,6.4704592932994744,-1.286836757662523,
HIGH_VOL,28,5.315239324271178,0.32026949342554734,
NORMAL,31,7.023883306540296,-0.3988299073573309,
