model,MAE,RMSE,MAPE%,R2,bias
vix_proxy,1.1744560250470948,1.6932988809855716,2.2592507897297254,0.9814817499477922,-0.5799810466698692
BSM(vol_21d),1.5174063402681977,2.1711967885769514,2.8904004158181285,0.9695539415190428,0.07183830553221925
gbdt_anchored,1.5539047892611382,2.7117937116365787,3.10911343051916,0.9525052069154508,0.21484371049624226
rf,1.6032186804787332,2.918453146554931,3.180489179026596,0.9449904424032448,0.3651160338424083
xgb,1.7070769188194777,3.3233774782306473,3.5464748236285226,0.9286667442651566,0.9099537575488572
gbdt,1.7189580178077386,2.7537329888170765,3.5888212751882747,0.9510247844640276,0.884183935067316
lstm,2.627795417586111,4.171924179120294,4.884665091910822,0.8875898531445221,1.3201131810120332
