scenario,label,r_%,sigma_base_%,sigma_xgb_%,sigma_vixproxy_%,price_BSM_$,price_XGB_$,price_VIXproxy_$,price_BSM_$_delta,price_BSM_$_pct,price_XGB_$_delta,price_XGB_$_pct,price_VIXproxy_$_delta,price_VIXproxy_$_pct
base,基准 (Base),3.797,20.29,24.4,19.8,205.78457913472033,205.78640711931587,205.78455373848087,0.0,0.0,0.0,0.0,0.0,0.0
vol_spike_50,波动率激增 +50%,3.797,30.43,41.87,36.07,205.8200825089946,206.38357580885503,205.97214905221438,0.03550337427427053,0.017252689401487,0.5971686895391599,0.2901885979247011,0.18759531373351024,0.09116102755307562
rate_hike_2,利率上调 +2%,5.797,20.29,24.4,19.8,208.64409082384265,208.64538588867129,208.6440747150403,2.8595116891223142,1.389565584139464,2.858978769355417,1.389294273308231,2.8595209765594234,1.3895702688129914
combined,波动率 +50% & 利率 +2%,5.797,30.43,41.87,36.07,208.67203011993126,209.16071050145894,208.80020000491353,2.8874509852109327,1.4031425471004872,3.3743033821430686,1.6397114995970714,3.015646266432668,1.465438591792983
vix_shock,VIX 冲击 +50%,3.797,20.29,27.91,24.05,205.78457913472033,205.79726983481007,205.78601193744106,0.0,0.0,0.010862715494198483,0.005278636060689972,0.001458198960193613,0.0007086046711002177
