feature_group,k,feature,feature_value,sigma_ML,sigma_base,price_ML_$,price_BSM_$,spread_$
sentiment_score,0,sentiment_score,0.4042093223026082,0.22160263061523439,0.20288203044932673,22.128431891455932,20.288924402853894,1.8395074886020382
sentiment_score,1,sentiment_score,0.5042093223026083,0.2168528175354004,0.20288203044932673,21.6616401569223,20.288924402853894,1.3727157540684054
sentiment_score,2,sentiment_score,0.6042093223026083,0.20270244598388673,0.20288203044932673,20.2712826902227,20.288924402853894,-0.01764171263119252
sentiment_score,3,sentiment_score,0.7042093223026082,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
sentiment_score,4,sentiment_score,0.8042093223026082,0.1856023406982422,0.20288203044932673,18.592046159992524,20.288924402853894,-1.69687824286137
sentiment_score,5,sentiment_score,0.9042093223026082,0.18009008407592775,0.20288203044932673,18.051071854326747,20.288924402853894,-2.2378525485271474
sentiment_score,6,sentiment_score,1.0042093223026083,0.18009008407592775,0.20288203044932673,18.051071854326747,20.288924402853894,-2.2378525485271474
vix_ratio,0,vix_ratio,0.32023921660016597,0.1922334289550781,0.20288203044932673,19.243059333194488,20.288924402853894,-1.0458650696594063
vix_ratio,1,vix_ratio,0.520239216600166,0.1922334289550781,0.20288203044932673,19.243059333194488,20.288924402853894,-1.0458650696594063
vix_ratio,2,vix_ratio,0.7202392166001661,0.19383272171020507,0.20288203044932673,19.4001050138745,20.288924402853894,-0.8888193889793925
vix_ratio,3,vix_ratio,0.920239216600166,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
vix_ratio,4,vix_ratio,1.120239216600166,0.20101169586181641,0.20288203044932673,20.105195112497654,20.288924402853894,-0.18372929035623997
vix_ratio,5,vix_ratio,1.3202392166001662,0.20176624298095702,0.20288203044932673,20.1793153590016,20.288924402853894,-0.10960904385229497
vix_ratio,6,vix_ratio,1.5202392166001661,0.2021016311645508,0.20288203044932673,20.21226166529371,20.288924402853894,-0.07666273756018427
vix_change_1d,0,vix_change_1d,-2.909999847412106,0.19941358566284179,0.20288203044932673,19.94821729503804,20.288924402853894,-0.34070710781585234
vix_change_1d,1,vix_change_1d,-1.9099998474121058,0.19941358566284179,0.20288203044932673,19.94821729503804,20.288924402853894,-0.34070710781585234
vix_change_1d,2,vix_change_1d,-0.9099998474121058,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
vix_change_1d,3,vix_change_1d,0.09000015258789418,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
vix_change_1d,4,vix_change_1d,1.0900001525878942,0.19873380661010742,0.20288203044932673,19.88144745467749,20.288924402853894,-0.40747694817640223
vix_change_1d,5,vix_change_1d,2.090000152587894,0.19961503982543946,0.20288203044932673,19.96800503886486,20.288924402853894,-0.3209193639890344
vix_change_1d,6,vix_change_1d,3.090000152587894,0.20001499176025392,0.20288203044932673,20.007290590853344,20.288924402853894,-0.2816338120005497
vol_21d,0,vol_21d,0.14288203044932674,0.1920147132873535,0.14288203044932674,19.221583070100422,14.406975614339343,4.814607455761079
vol_21d,1,vol_21d,0.16288203044932673,0.19210922241210937,0.16288203044932673,19.230863139536705,16.36378704306623,2.8670760964704733
vol_21d,2,vol_21d,0.18288203044932674,0.19301259994506836,0.18288203044932674,19.31957004258624,18.325049833328237,0.9945202092580026
vol_21d,3,vol_21d,0.20288203044932673,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
vol_21d,4,vol_21d,0.22288203044932672,0.20203617095947266,0.22288203044932672,20.205831259051088,22.2541713839321,-2.048340124881012
vol_21d,5,vol_21d,0.24288203044932674,0.20328611373901367,0.24288203044932674,20.328620443434076,24.219906607494,-3.891286164059924
vol_21d,6,vol_21d,0.26288203044932673,0.20328611373901367,0.26288203044932673,20.328620443434076,26.185467051506482,-5.856846608072406
rate_change_1d_bps,0,rate_change_1d_bps,-6.800013542175293,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
rate_change_1d_bps,1,rate_change_1d_bps,-4.800013542175293,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
rate_change_1d_bps,2,rate_change_1d_bps,-2.800013542175293,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
rate_change_1d_bps,3,rate_change_1d_bps,-0.800013542175293,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
rate_change_1d_bps,4,rate_change_1d_bps,1.199986457824707,0.19795469284057618,0.20288203044932673,19.804922897710433,20.288924402853894,-0.4840015051434605
rate_change_1d_bps,5,rate_change_1d_bps,3.199986457824707,0.19813116073608397,0.20288203044932673,19.822255363871825,20.288924402853894,-0.4666690389820687
rate_change_1d_bps,6,rate_change_1d_bps,5.199986457824707,0.19813116073608397,0.20288203044932673,19.822255363871825,20.288924402853894,-0.4666690389820687
