scenario,label,r_%,sigma_base_%,sigma_xgb_%,sigma_vixproxy_%,price_BSM_$,price_XGB_$,price_VIXproxy_$,price_BSM_$_delta,price_BSM_$_pct,price_XGB_$_delta,price_XGB_$_pct,price_VIXproxy_$_delta,price_VIXproxy_$_pct
base,基准 (Base),3.797,20.29,24.4,19.8,20.288924402853894,24.33334177286811,19.804922897710433,0.0,0.0,0.0,0.0,0.0,0.0
vol_spike_50,波动率激增 +50%,3.797,30.43,41.87,36.07,30.255519161163527,41.448557103094075,35.785633062814796,9.966594758309633,49.123327389931546,17.115215330225965,70.3364769622789,15.980710165104362,80.69059520020564
rate_hike_2,利率上调 +2%,5.797,20.29,24.4,19.8,20.510590788522208,24.44464502589758,20.04172482448197,0.2216663856683141,1.0925487288874411,0.11130325302946886,0.457410470244465,0.23680192677153755,1.1956720457564278
combined,波动率 +50% & 利率 +2%,5.797,30.43,41.87,36.07,30.239178650751143,41.244858667228804,35.67073771052796,9.950254247897249,49.042788322961165,16.911516894360695,69.49936039289591,15.865814812817526,80.11045988294005
vix_shock,VIX 冲击 +50%,3.797,20.29,27.91,24.05,20.288924402853894,27.782346333592752,23.985116028160807,0.0,0.0,3.4490045607246422,14.173986429477239,4.180193130450373,21.106838698845067
