t1_years,price_BSM_base,price_ML_base,price_BSM_spike,price_ML_spike
0.1,15.787106291753243,18.88186756151417,23.42499704537726,28.074401868313316
0.2,17.275822514467585,20.69293765244908,25.703216155486235,30.826892790517135
0.3,18.43590446743572,22.09696496118273,27.46173410629323,32.945738836124676
0.4,19.419654498652264,23.284961461362304,28.946718855753822,34.73250694315419
0.5,20.288924402853894,24.33334177286811,30.255519161163527,36.305718595528354
0.6,21.07612296411752,25.281879347387186,31.43854565365249,37.7265827135004
0.7,21.80074738272424,26.15441003716107,32.525920208260914,39.03161814605126
0.8,22.475608928192322,26.96655655950844,33.53734805564094,40.2446923519226
0.9,23.109660707087734,27.72921743542618,34.486557585934506,41.38242311743008
1.0,23.709451647595422,28.450354147135293,35.38356794492758,42.456933162591326
