feature,mean_abs_SHAP_sigma,mean_vega_$,mean_abs_price_impact_$,price_impact_%of_mean_price,is_new_feature
sentiment_score,0.020761628,32.41446029377345,0.8141077623222359,1.3710591733205668,True
vol_63d,0.007133052,32.41446029377345,0.2489687242247727,0.41929443375480474,False
vol_21d,0.00410057,32.41446029377345,0.14601461502083482,0.24590685241979868,False
rate_momentum_5d_bps,0.0033584503,32.41446029377345,0.14158434007689683,0.23844571596669334,False
jpm_vol_ratio,0.003810819,32.41446029377345,0.10169894294312602,0.17127372455145234,False
sma_ratio_21,0.0032747355,32.41446029377345,0.09532517454744178,0.16053950233669761,False
dps_growth_rate,0.002398469,32.41446029377345,0.08602499204443201,0.14487683318595207,False
vol_5d,0.0020794019,32.41446029377345,0.058890960095902334,0.09917973369376015,False
vix_jpm_corr_21d,0.0014329085,32.41446029377345,0.044054439945127574,0.07419318032292568,True
vix_ratio,0.0010117507,32.41446029377345,0.03229872720019059,0.054395091490199755,True
regime_BEAR,0.00026734508,32.41446029377345,0.009549300168145534,0.016082214419600754,False
regime_BULL,0.0002546374,32.41446029377345,0.00679127294559382,0.011437352033126381,False
rate_change_1d_bps,9.573739e-05,32.41446029377345,0.00406069002058284,0.00683870927216108,False
vix_change_1d,9.427196e-05,32.41446029377345,0.003933062871927284,0.006623769210135623,True
daily_return,8.912418e-05,32.41446029377345,0.003607891929986003,0.0060761407222630105,False
volume_change_1d,5.71895e-05,32.41446029377345,0.002838836588387308,0.004780955453567933,False
vix_jpm_cross_1d,5.400526e-05,32.41446029377345,0.002525320469166063,0.00425295514312253,True
regime_HIGH_VOL,3.2809534e-05,32.41446029377345,0.0011992070500167205,0.002019614481928165,False
regime_CALM,0.0,32.41446029377345,0.0,0.0,False
